psize,operator,resin
36.2,Alice,R1
36.3,Alice,R1
35.3,Alice,R2
35,Alice,R2
30.8,Alice,R3
30.6,Alice,R3
29.8,Alice,R4
29.6,Alice,R4
32,Alice,R5
31.7,Alice,R5
30.7,Alice,R6
29.7,Alice,R6
33.4,Alice,R7
32.4,Alice,R7
37.1,Alice,R8
36.5,Alice,R8
35.8,Bob,R1
35,Bob,R1
35.6,Bob,R2
35.1,Bob,R2
30.4,Bob,R3
28.9,Bob,R3
30.2,Bob,R4
29.9,Bob,R4
31.1,Bob,R5
31.7,Bob,R5
30.9,Bob,R6
30.4,Bob,R6
32.9,Bob,R7
32.1,Bob,R7
36.7,Bob,R8
36.2,Bob,R8
36,Carl,R1
34.6,Carl,R1
33,Carl,R2
33.7,Carl,R2
31.3,Carl,R3
27.1,Carl,R3
30,Carl,R4
27.3,Carl,R4
28.7,Carl,R5
29.9,Carl,R5
30.8,Carl,R6
28.7,Carl,R6
35.5,Carl,R7
30.1,Carl,R7
32.6,Carl,R8
33.7,Carl,R8
